titel,sender,lb_rating,lb_director,lb_year,lb_url,datum_gesehen
Kingdom of the Silver Lion,ZDFneo,3.12,Franz Josef Gottlieb,,https://letterboxd.com/film/kingdom-of-the-silver-lion/,
She Walks in Darkness,ARTE.DE,3.28,Agustín Díaz Yanes,,https://letterboxd.com/film/she-walks-in-darkness/,
The Blob,ZDFneo,3.63,Chuck Russell,,https://letterboxd.com/film/the-blob-1988/,
Austin Powers in Goldmember,ZDFneo,3.08,Jay Roach,,https://letterboxd.com/film/austin-powers-in-goldmember/,
The Father,ARD,4.29,Florian Zeller,,https://letterboxd.com/film/the-father-2020/,
Sidonie in Japan,ARTE.DE,3.01,Elise Girard,,https://letterboxd.com/film/sidonie-in-japan/,
Rehragout-Rendezvous,ARD,3.16,Ed Herzog,,https://letterboxd.com/film/rehragout-rendezvous/,
Giant Little Ones,ZDF,3.11,Keith Behrman,,https://letterboxd.com/film/giant-little-ones/,
Olivia,ZDF,3.05,Ulli Lommel,,https://letterboxd.com/film/olivia-1983/,
Girls of the Night,ARTE.DE,3.92,Kinuyo Tanaka,,https://letterboxd.com/film/girls-of-the-night/,
Von uns wird es keiner sein,ZDF,3.32,Simon Ostermann,,https://letterboxd.com/film/von-uns-wird-es-keiner-sein/,
Beauty and the Beast,ZDF-tivi,3.91,"Gary Trousdale, Kirk Wise",,https://letterboxd.com/film/beauty-and-the-beast-1991/,
Alles gelogen,ZDF,3.11,Erik Haffner,,https://letterboxd.com/film/alles-gelogen/,
Lehrer kann jeder!,ZDF,2.99,Ingo Rasper,,https://letterboxd.com/film/lehrer-kann-jeder/,
I See You,3Sat,3.17,Adam Randall,,https://letterboxd.com/film/i-see-you-2019/,
Elevator to the Gallows,ARTE.DE,4.1,Louis Malle,,https://letterboxd.com/film/elevator-to-the-gallows/,
So Damn Easy Going,ZDF,3.34,Christoffer Sandler,,https://letterboxd.com/film/so-damn-easy-going/,
Paris Can Wait,ARD,2.85,Eleanor Coppola,,https://letterboxd.com/film/paris-can-wait/,
Notre Dame,ARTE.DE,2.98,Valérie Donzelli,,https://letterboxd.com/film/notre-dame/,
Just a Breath Away,ZDF,2.76,Daniel Roby,,https://letterboxd.com/film/just-a-breath-away/,
Lissy,ARTE.DE,3.6,Konrad Wolf,,https://letterboxd.com/film/lissy/,
Tailgate,ZDF,2.68,Lodewijk Crijns,,https://letterboxd.com/film/tailgate-2019/,
See for Me,ZDF,2.75,Randall Okita,,https://letterboxd.com/film/see-for-me/,
Queen of Montreuil,ARTE.DE,3.36,Sólveig Anspach,,https://letterboxd.com/film/queen-of-montreuil/,
My Life as Lotta - Bingo Flamingo,ZDF-tivi,3.04,Neele Vollmar,,https://letterboxd.com/film/my-life-as-lotta-bingo-flamingo/,
Smile at Last,ARTE.DE,3.72,Leida Laius,,https://letterboxd.com/film/smile-at-last/,
Not on My Watch,ARTE.DE,2.9,Emmanuelle Cuau,,https://letterboxd.com/film/not-on-my-watch/,
Hush-a-Bye Baby,ARTE.DE,3.43,Margo Harkin,,https://letterboxd.com/film/hush-a-bye-baby/,
Sleeping Beauty,ZDF-tivi,3.58,Clyde Geronimi,,https://letterboxd.com/film/sleeping-beauty/,
Singles,ARTE.DE,3.08,Patrice Leconte,,https://letterboxd.com/film/singles-1982/,
"The Tunnel to Summer, the Exit of Goodbyes",ZDF,3.44,Tomohisa Taguchi,,https://letterboxd.com/film/the-tunnel-to-summer-the-exit-of-goodbyes/,
Maya the Bee: The Golden Orb,ZDF-tivi,2.88,"Noel Cleary, Alexs Stadermann",,https://letterboxd.com/film/maya-the-bee-the-golden-orb/,
My Life as Lotta - Okey Dokey Alpaca,ZDF-tivi,3.08,Martina Plura,,https://letterboxd.com/film/my-life-as-lotta-okey-dokey-alpaca/,
Kalle Blomkvist Lives Dangerously,ZDF-tivi,3.45,Göran Carmback,,https://letterboxd.com/film/kalle-blomkvist-lives-dangerously/,
Clint Eastwood: The Last Legend,ARTE.DE,3.6,Clélia Cohen,,https://letterboxd.com/film/clint-eastwood-the-last-legend/,
Pettson and Findus: Findus Moves House,ZDF-tivi,3.14,Ali Samadi Ahadi,,https://letterboxd.com/film/pettson-and-findus-findus-moves-house/,
Lotta on Rascal Street,ZDF-tivi,3.48,Johanna Hald,,https://letterboxd.com/film/lotta-on-rascal-street/,
The Flying Deuces,ARTE.DE,3.4,A. Edward Sutherland,,https://letterboxd.com/film/the-flying-deuces/,
Welcome to Lynchland,ARTE.DE,3.65,Stéphane Ghez,,https://letterboxd.com/film/welcome-to-lynchland-2025/,
